event_id,cluster_id,currency,era,symbol,currency_leg,trade_dir,cluster_trade_dir,entry_delay_min,entry_bar_epoch,entry_lag_sec,entry_price,px_p5,px_p15,px_p30,px_p60,px_p90,px_p120,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,ret_raw_p5,ret_raw_p15,ret_raw_p30,ret_raw_p60,ret_raw_p90,ret_raw_p120,mae_p90_bp,mfe_p90_bp,atr_m5_bp,bars_missing,session_intact,window_ok,weekday,broker_hour,minute_of_hour
091d33b76888,a2ae7ace31e2,USD,IS,EURUSD.DWX,-1,-1,-1,5,1546616100,0,1.13851,1.13762,1.13713,1.13709,1.13519,1.13516,1.14028,7.817234807,12.12110566,12.47244205,29.16092085,29.42442315,-15.54663551,-7.817234807,-12.12110566,-12.47244205,-29.16092085,-29.42442315,15.54663551,-1.229677385,34.34313269,3.632567378,0,1,1,4,15,35
091d33b76888,a2ae7ace31e2,USD,IS,EURUSD.DWX,-1,-1,-1,10,1546616400,0,1.13762,1.13753,1.13699,1.13629,1.1354,1.13502,1.13952,0.7911253318,5.537877323,11.69107435,19.51442485,22.85473181,-16.70153478,-0.7911253318,-5.537877323,-11.69107435,-19.51442485,-22.85473181,16.70153478,-5.362071694,26.54665002,3.635409263,0,1,1,4,15,40
091d33b76888,a2ae7ace31e2,USD,IS,EURUSD.DWX,-1,-1,-1,15,1546616700,0,1.13752,1.13713,1.13714,1.13654,1.13532,1.13529,1.13902,3.428511147,3.340600605,8.615233139,19.34031929,19.60405092,-13.18658133,-3.428511147,-3.340600605,-8.615233139,-19.34031929,-19.60405092,13.18658133,-0.7032843379,25.66987833,3.635728854,0,1,1,4,15,45
091d33b76888,a2ae7ace31e2,USD,IS,USDJPY.DWX,1,1,1,5,1546616100,0,108.193,108.298,108.37,108.311,108.56,108.401,108.345,9.704879244,16.35965358,10.90643572,33.92086364,19.22490364,14.04896805,9.704879244,16.35965358,10.90643572,33.92086364,19.22490364,14.04896805,-3.050104905,36.60125886,3.862145821,0,1,1,4,15,35
091d33b76888,a2ae7ace31e2,USD,IS,USDJPY.DWX,1,1,1,10,1546616400,0,108.298,108.403,108.334,108.351,108.573,108.382,108.303,9.695469907,3.324161111,4.893903858,25.39289738,7.756375926,0.4616890432,9.695469907,3.324161111,4.893903858,25.39289738,7.756375926,0.4616890432,-5.170917284,26.87030231,3.85840129,0,1,1,4,15,40
091d33b76888,a2ae7ace31e2,USD,IS,USDJPY.DWX,1,1,1,15,1546616700,0,108.403,108.37,108.299,108.376,108.55,108.331,108.331,-3.044196194,-9.593830429,-2.490705977,13.56051032,-6.641882605,-6.641882605,-3.044196194,-9.593830429,-2.490705977,13.56051032,-6.641882605,-6.641882605,-11.90003967,17.15819673,3.854664012,0,1,1,4,15,45
0967f1534fc4,9af8078b6d2d,USD,IS,EURUSD.DWX,-1,1,1,5,1559921700,0,1.13055,1.13195,1.13233,1.13152,1.13128,1.1319,1.13406,12.38335324,15.74454911,8.579894741,6.457034187,11.94109062,31.04683561,12.38335324,15.74454911,8.579894741,6.457034187,11.94109062,31.04683561,-1.326787847,18.57502985,2.552487095,0,1,1,4,15,35
0967f1534fc4,9af8078b6d2d,USD,IS,EURUSD.DWX,-1,1,1,10,1559922000,0,1.13196,1.13206,1.13229,1.13207,1.13119,1.13256,1.13401,0.8834234425,2.91529736,0.9717657868,-6.802360507,5.300540655,18.11018057,0.8834234425,2.91529736,0.9717657868,-6.802360507,5.300540655,18.11018057,-10.68942365,6.095621753,2.549307648,0,1,1,4,15,40
0967f1534fc4,9af8078b6d2d,USD,IS,EURUSD.DWX,-1,1,1,15,1559922300,0,1.13205,1.13233,1.1317,1.13227,1.13185,1.13265,1.13389,2.473388985,-3.091736231,1.943377059,-1.766706418,5.300119253,16.25369904,2.473388985,-3.091736231,1.943377059,-1.766706418,5.300119253,16.25369904,-11.48359171,6.978490349,2.549104974,0,1,1,4,15,45
0967f1534fc4,9af8078b6d2d,USD,IS,USDJPY.DWX,1,-1,-1,5,1559921700,0,108.155,107.99,107.955,108.028,108.087,108.093,107.991,15.25588276,18.4919791,11.74240673,6.287272895,5.732513522,15.16342287,-15.25588276,-18.4919791,-11.74240673,-6.287272895,-5.732513522,-15.16342287,-0.3698395821,25.42647127,2.311497388,0,1,1,4,15,35
0967f1534fc4,9af8078b6d2d,USD,IS,USDJPY.DWX,1,-1,-1,10,1559922000,0,107.99,107.931,107.936,107.997,108.129,108.055,108.022,5.46346884,5.000463006,-0.6482081674,-12.87156218,-6.01907584,-2.963237337,-5.46346884,-5.000463006,0.6482081674,12.87156218,6.01907584,2.963237337,-13.79757385,10.18612835,2.315029169,0,1,1,4,15,40
