currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Non-Farm Employment Change,2021.11.04 20:30,1020,2021-11-05T13:30:00Z,America/New_York,09:30,08:30,-60,4.063564132,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2021.12.02 20:30,1020,2021-12-03T13:30:00Z,America/New_York,08:30,08:30,0,3.502606106,1,1,
USD,Non-Farm Employment Change,2022.01.06 20:30,1020,2022-01-07T13:30:00Z,America/New_York,08:30,08:30,0,4.691879867,1,1,
USD,Non-Farm Employment Change,2022.02.03 20:30,1020,2022-02-04T13:30:00Z,America/New_York,08:30,08:30,0,2.711916462,1,1,
USD,Non-Farm Employment Change,2022.03.03 20:30,1020,2022-03-04T13:30:00Z,America/New_York,08:30,08:30,0,1.888579387,1,1,
USD,Non-Farm Employment Change,2022.03.31 19:30,1020,2022-04-01T12:30:00Z,America/New_York,08:30,08:30,0,3.305936073,1,1,
USD,Non-Farm Employment Change,2022.05.05 19:30,1020,2022-05-06T12:30:00Z,America/New_York,08:30,08:30,0,2.119817768,1,1,
USD,Non-Farm Employment Change,2022.06.02 19:30,1020,2022-06-03T12:30:00Z,America/New_York,08:30,08:30,0,2.729411765,1,1,
USD,Non-Farm Employment Change,2022.07.07 19:30,1020,2022-07-08T12:30:00Z,America/New_York,08:30,08:30,0,2.087421945,1,1,
USD,Non-Farm Employment Change,2022.08.04 19:30,1020,2022-08-05T12:30:00Z,America/New_York,08:30,08:30,0,2.104901118,1,1,
USD,Non-Farm Employment Change,2022.09.01 19:30,1020,2022-09-02T12:30:00Z,America/New_York,08:30,08:30,0,2.281188119,1,1,
USD,Non-Farm Employment Change,2022.10.06 20:30,1020,2022-10-07T13:30:00Z,America/New_York,09:30,08:30,-60,1.528301887,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2022.11.03 20:30,1020,2022-11-04T13:30:00Z,America/New_York,09:30,08:30,-30,1.274220033,0,0,home_clock_mismatch
USD,Non-Farm Employment Change,2022.12.01 20:30,1020,2022-12-02T13:30:00Z,America/New_York,08:30,08:30,0,1.886002886,1,1,
