event_id,cluster_id,currency,event,raw_datetime_utc,applied_offset_min,release_utc,us_dst,release_broker_epoch,year,weekday,broker_hhmm,era,actual,forecast,surprise,surprise_n_3y,surprise_mean_3y,surprise_sd_3y,surprise_z,polarity,direction,is_confounded,instant_verified,instant_void_reason,home_tz,home_local_hhmm,local_peak_offset_min,cluster_rank,cluster_is_primary,cluster_direction,cluster_dir_rule
91cf7a6e1e9b,cfb86316b7c2,USD,Average Hourly Earnings m/m,2019.12.05 20:30,1020,2019-12-06T13:30:00Z,0,1575646200,2019,4,15:30,IS,0.2,0.3,-0.1,35,-0.03428571429,0.1169685114,-0.5618117641,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
6873d2cb6742,cfb86316b7c2,USD,Non-Farm Employment Change,2019.12.05 20:30,1020,2019-12-06T13:30:00Z,0,1575646200,2019,4,15:30,IS,266000,181000,85000,35,771.4285714,65910.79934,1.277917614,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
df834183888a,cfb86316b7c2,USD,Unemployment Rate,2019.12.05 20:30,1020,2019-12-06T13:30:00Z,0,1575646200,2019,4,15:30,IS,3.5,3.6,-0.1,35,-0.008571428571,0.1105090263,-0.827340304,-1,1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
83179e42d6a1,be38bd85c205,USD,Average Hourly Earnings m/m,2020.01.09 20:30,1020,2020-01-10T13:30:00Z,0,1578670200,2020,4,15:30,IS,0.1,0.3,-0.2,35,-0.04,0.1151396667,-1.389616668,1,-1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
c8418094fa8a,be38bd85c205,USD,Non-Farm Employment Change,2020.01.09 20:30,1020,2020-01-10T13:30:00Z,0,1578670200,2020,4,15:30,IS,145000,162000,-17000,35,3742.857143,67282.4931,-0.3082950139,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
b7acc75d72f3,be38bd85c205,USD,Unemployment Rate,2020.01.09 20:30,1020,2020-01-10T13:30:00Z,0,1578670200,2020,4,15:30,IS,3.5,3.5,0,35,-0.01142857143,0.1115384074,0.1024631039,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
ff3787b69e6e,cdd536417b05,USD,Average Hourly Earnings m/m,2020.02.06 20:30,1020,2020-02-07T13:30:00Z,0,1581089400,2020,4,15:30,IS,0.2,0.3,-0.1,35,-0.04,0.1151396667,-0.5211062503,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
3fae6e6a025f,cdd536417b05,USD,Non-Farm Employment Change,2020.02.06 20:30,1020,2020-02-07T13:30:00Z,0,1581089400,2020,4,15:30,IS,225000,163000,62000,35,1628.571429,66736.19096,0.9046280242,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
4e68b4fd4516,cdd536417b05,USD,Unemployment Rate,2020.02.06 20:30,1020,2020-02-07T13:30:00Z,0,1581089400,2020,4,15:30,IS,3.6,3.5,0.1,35,-0.01428571429,0.1099164804,1.03975049,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
6a46c4f554b3,4185cd4a163f,USD,Average Hourly Earnings m/m,2020.03.05 20:30,1020,2020-03-06T13:30:00Z,0,1583508600,2020,4,15:30,IS,0.3,0.3,0,36,-0.04166666667,0.1139566194,0.3656362121,1,1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
