config_id,year,clock_mode,outside_rule,buffer_points,range_band_enabled,range_start_hour,range_end_hour,range_end_minute,range_bar_period,exit_hour
37,2021,2,1,0,false,0,8,0,0,18
37,2022,2,1,0,false,0,8,0,0,18
37,2023,2,1,0,false,0,8,0,0,18
37,2024,2,1,0,false,0,8,0,0,18
37,2025,2,1,0,false,0,8,0,0,18
38,2019,2,1,20,true,0,8,0,0,18
38,2020,2,1,20,true,0,8,0,0,18
38,2021,2,1,20,true,0,8,0,0,18
38,2022,2,1,20,true,0,8,0,0,18
38,2023,2,1,20,true,0,8,0,0,18
38,2024,2,1,20,true,0,8,0,0,18
38,2025,2,1,20,true,0,8,0,0,18
39,2019,2,1,20,false,0,8,0,0,18
39,2020,2,1,20,false,0,8,0,0,18
39,2021,2,1,20,false,0,8,0,0,18
39,2022,2,1,20,false,0,8,0,0,18
39,2023,2,1,20,false,0,8,0,0,18
39,2024,2,1,20,false,0,8,0,0,18
39,2025,2,1,20,false,0,8,0,0,18
40,2019,2,2,0,true,0,8,0,0,18
40,2020,2,2,0,true,0,8,0,0,18
40,2021,2,2,0,true,0,8,0,0,18
40,2022,2,2,0,true,0,8,0,0,18
40,2023,2,2,0,true,0,8,0,0,18
40,2024,2,2,0,true,0,8,0,0,18
40,2025,2,2,0,true,0,8,0,0,18
41,2019,2,2,0,false,0,8,0,0,18
41,2020,2,2,0,false,0,8,0,0,18
41,2021,2,2,0,false,0,8,0,0,18
41,2022,2,2,0,false,0,8,0,0,18
41,2023,2,2,0,false,0,8,0,0,18
41,2024,2,2,0,false,0,8,0,0,18
41,2025,2,2,0,false,0,8,0,0,18
42,2019,2,2,20,true,0,8,0,0,18
42,2020,2,2,20,true,0,8,0,0,18
42,2021,2,2,20,true,0,8,0,0,18
42,2022,2,2,20,true,0,8,0,0,18
42,2023,2,2,20,true,0,8,0,0,18
42,2024,2,2,20,true,0,8,0,0,18
42,2025,2,2,20,true,0,8,0,0,18
43,2019,2,2,20,false,0,8,0,0,18
43,2020,2,2,20,false,0,8,0,0,18
43,2021,2,2,20,false,0,8,0,0,18
43,2022,2,2,20,false,0,8,0,0,18
43,2023,2,2,20,false,0,8,0,0,18
