seq,handler,tick_no,timer_no,sim_iso,sim_epoch,wall_ms,host_b0_open,host_b1_open,sec_b0_open,sec_b1_open,sec_close1,la_forming,la_closed
7395,TICK,256,7139,2018.01.02 00:11:53,1514851913,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7397,TICK,257,7140,2018.01.02 00:11:54,1514851914,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7398,TICK,258,7140,2018.01.02 00:11:54,1514851914,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7399,TICK,259,7140,2018.01.02 00:11:54,1514851914,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7402,TICK,260,7142,2018.01.02 00:11:54,1514851914,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7413,TICK,261,7152,2018.01.02 00:11:55,1514851915,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7496,TICK,262,7234,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7498,TICK,263,7235,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7499,TICK,264,7235,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7500,TICK,265,7235,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7503,TICK,266,7237,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7504,TICK,267,7237,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7506,TICK,268,7238,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7508,TICK,269,7239,2018.01.02 00:12:03,1514851923,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
7510,TICK,270,7240,2018.01.02 00:12:04,1514851924,297,2018.01.02 00:00,2018.01.01 23:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
