scope,ea_id,symbol,phase,pair_class,disposition,reason,file_count,bytes,projected_free_bytes,compression_candidate_bytes
C_RELOCATED,QM5_10955,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,14,128424,0,128424
C_RELOCATED,QM5_1096,EURGBP.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79282,0,79282
C_RELOCATED,QM5_1096,EURJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79089,0,79089
C_RELOCATED,QM5_1096,EURNZD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79089,0,79089
C_RELOCATED,QM5_1096,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79282,0,79282
C_RELOCATED,QM5_1096,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,14,121825,0,121825
C_RELOCATED,QM5_1096,UK100.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,2,34166,0,34166
C_RELOCATED,QM5_10961,EURUSD.DWX,Q03,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,272,3742184,0,3742184
C_RELOCATED,QM5_10961,EURUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,10,74710,0,74710
C_RELOCATED,QM5_10961,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,18,159637,0,159637
C_RELOCATED,QM5_10961,NDX.DWX,Q03,OTHER,DELETE_NONRETAINED,non-path pair; phase is not Q02/Q04,299,4375392,4375392,0
C_RELOCATED,QM5_1097,AUDCHF.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,AUDJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,AUDNZD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70688,0,70688
C_RELOCATED,QM5_1097,AUDUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35347,0,35347
C_RELOCATED,QM5_1097,CADCHF.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,CHFJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70691,0,70691
C_RELOCATED,QM5_1097,EURAUD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35347,0,35347
C_RELOCATED,QM5_1097,EURGBP.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,EURJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,GBPAUD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,GBPCAD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,GBPCHF.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70688,0,70688
C_RELOCATED,QM5_1097,GBPNZD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,GDAXI.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35327,0,35327
C_RELOCATED,QM5_1097,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70598,0,70598
C_RELOCATED,QM5_1097,NZDCAD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70688,0,70688
C_RELOCATED,QM5_1097,NZDJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,SP500.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70658,0,70658
C_RELOCATED,QM5_1097,UK100.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35329,0,35329
C_RELOCATED,QM5_1097,USDCAD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35347,0,35347
C_RELOCATED,QM5_1097,USDCHF.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,6,70691,0,70691
C_RELOCATED,QM5_1097,USDJPY.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,3,35344,0,35344
C_RELOCATED,QM5_1097,WS30.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,9,105942,0,105942
