line,date,side,accepted,price,sl,range_high,range_low,bid,ask,outside_high,outside_low,invalid_price,broker_time,utc_time,season,broker_hour,utc_hour,strategy_hour,log,source
68647,2020-12-31,buy,True,103.208,103.078,103.208,103.078,103.177,103.180,False,False,False,2020-12-31T05:00:00,2020-12-31T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:28.027	Trade	2020.12.31 05:00:00   buy stop 7.92 USDJPY.DWX at 103.208 sl: 103.078 (103.177 / 103.180),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68648,2020-12-31,sell,True,103.078,103.208,103.208,103.078,103.177,103.180,False,False,False,2020-12-31T05:00:00,2020-12-31T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:28.027	Trade	2020.12.31 05:00:00   sell stop 7.93 USDJPY.DWX at 103.078 sl: 103.208 (103.177 / 103.180),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68658,2021-01-05,buy,True,103.190,103.077,103.190,103.077,103.111,103.113,False,False,False,2021-01-05T05:00:00,2021-01-05T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:28.553	Trade	2021.01.05 05:00:00   buy stop 9.12 USDJPY.DWX at 103.190 sl: 103.077 (103.111 / 103.113),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68659,2021-01-05,sell,True,103.077,103.190,103.190,103.077,103.111,103.113,False,False,False,2021-01-05T05:00:00,2021-01-05T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:28.553	Trade	2021.01.05 05:00:00   sell stop 9.13 USDJPY.DWX at 103.077 sl: 103.190 (103.111 / 103.113),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68672,2021-01-07,buy,True,103.247,102.949,103.247,102.949,103.185,103.188,False,False,False,2021-01-07T05:00:00,2021-01-07T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:29.236	Trade	2021.01.07 05:00:00   buy stop 3.45 USDJPY.DWX at 103.247 sl: 102.949 (103.185 / 103.188),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68673,2021-01-07,sell,True,102.949,103.247,103.247,102.949,103.185,103.188,False,False,False,2021-01-07T05:00:00,2021-01-07T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:29.236	Trade	2021.01.07 05:00:00   sell stop 3.46 USDJPY.DWX at 102.949 sl: 103.247 (103.185 / 103.188),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68688,2021-01-08,buy,True,103.998,103.770,103.998,103.770,103.815,103.819,False,False,False,2021-01-08T05:00:00,2021-01-08T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:29.678	Trade	2021.01.08 05:00:00   buy stop 4.55 USDJPY.DWX at 103.998 sl: 103.770 (103.815 / 103.819),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68689,2021-01-08,sell,True,103.770,103.998,103.998,103.770,103.815,103.819,False,False,False,2021-01-08T05:00:00,2021-01-08T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:29.679	Trade	2021.01.08 05:00:00   sell stop 4.56 USDJPY.DWX at 103.770 sl: 103.998 (103.815 / 103.819),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68699,2021-01-11,buy,True,104.203,104.031,104.203,104.031,104.126,104.128,False,False,False,2021-01-11T05:00:00,2021-01-11T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.136	Trade	2021.01.11 05:00:00   buy stop 6.04 USDJPY.DWX at 104.203 sl: 104.031 (104.126 / 104.128),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68700,2021-01-11,sell,True,104.031,104.203,104.203,104.031,104.126,104.128,False,False,False,2021-01-11T05:00:00,2021-01-11T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.137	Trade	2021.01.11 05:00:00   sell stop 6.05 USDJPY.DWX at 104.031 sl: 104.203 (104.126 / 104.128),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68712,2021-01-12,buy,True,104.313,104.099,104.313,104.099,104.304,104.306,False,False,False,2021-01-12T05:00:00,2021-01-12T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.487	Trade	2021.01.12 05:00:00   buy stop 4.86 USDJPY.DWX at 104.313 sl: 104.099 (104.304 / 104.306),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68713,2021-01-12,sell,True,104.099,104.313,104.313,104.099,104.304,104.306,False,False,False,2021-01-12T05:00:00,2021-01-12T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.487	Trade	2021.01.12 05:00:00   sell stop 4.87 USDJPY.DWX at 104.099 sl: 104.313 (104.304 / 104.306),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68723,2021-01-13,buy,True,103.750,103.525,103.750,103.525,103.595,103.597,False,False,False,2021-01-13T05:00:00,2021-01-13T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.822	Trade	2021.01.13 05:00:00   buy stop 4.6 USDJPY.DWX at 103.750 sl: 103.525 (103.595 / 103.597),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68724,2021-01-13,sell,True,103.525,103.750,103.750,103.525,103.595,103.597,False,False,False,2021-01-13T05:00:00,2021-01-13T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:30.822	Trade	2021.01.13 05:00:00   sell stop 4.61 USDJPY.DWX at 103.525 sl: 103.750 (103.595 / 103.597),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68736,2021-01-15,buy,True,103.853,103.699,103.853,103.699,103.762,103.766,False,False,False,2021-01-15T05:00:00,2021-01-15T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:31.376	Trade	2021.01.15 05:00:00   buy stop 6.73 USDJPY.DWX at 103.853 sl: 103.699 (103.762 / 103.766),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68737,2021-01-15,sell,True,103.699,103.853,103.853,103.699,103.762,103.766,False,False,False,2021-01-15T05:00:00,2021-01-15T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:31.376	Trade	2021.01.15 05:00:00   sell stop 6.74 USDJPY.DWX at 103.699 sl: 103.853 (103.762 / 103.766),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68747,2021-01-20,buy,True,103.928,103.745,103.928,103.745,103.762,103.764,False,False,False,2021-01-20T05:00:00,2021-01-20T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:32.078	Trade	2021.01.20 05:00:00   buy stop 5.66 USDJPY.DWX at 103.928 sl: 103.745 (103.762 / 103.764),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68748,2021-01-20,sell,True,103.745,103.928,103.928,103.745,103.762,103.764,False,False,False,2021-01-20T05:00:00,2021-01-20T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:32.078	Trade	2021.01.20 05:00:00   sell stop 5.67 USDJPY.DWX at 103.745 sl: 103.928 (103.762 / 103.764),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68758,2021-01-22,buy,True,103.611,103.493,103.611,103.493,103.534,103.538,False,False,False,2021-01-22T05:00:00,2021-01-22T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:32.557	Trade	2021.01.22 05:00:00   buy stop 8.77 USDJPY.DWX at 103.611 sl: 103.493 (103.534 / 103.538),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68759,2021-01-22,sell,True,103.493,103.611,103.611,103.493,103.534,103.538,False,False,False,2021-01-22T05:00:00,2021-01-22T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:32.557	Trade	2021.01.22 05:00:00   sell stop 8.78 USDJPY.DWX at 103.493 sl: 103.611 (103.534 / 103.538),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68772,2021-01-25,buy,True,103.889,103.746,103.889,103.746,103.776,103.779,False,False,False,2021-01-25T05:00:09,2021-01-25T03:00:09Z,winter_US_standard,5,3,6,CS	0	16:02:32.780	Trade	2021.01.25 05:00:09   buy stop 7.25 USDJPY.DWX at 103.889 sl: 103.746 (103.776 / 103.779),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68773,2021-01-25,sell,True,103.746,103.889,103.889,103.746,103.776,103.779,False,False,False,2021-01-25T05:00:09,2021-01-25T03:00:09Z,winter_US_standard,5,3,6,CS	0	16:02:32.781	Trade	2021.01.25 05:00:09   sell stop 7.26 USDJPY.DWX at 103.746 sl: 103.889 (103.776 / 103.779),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68783,2021-01-26,buy,True,103.798,103.659,103.798,103.659,103.694,103.697,False,False,False,2021-01-26T05:00:01,2021-01-26T03:00:01Z,winter_US_standard,5,3,6,CS	0	16:02:32.952	Trade	2021.01.26 05:00:01   buy stop 7.45 USDJPY.DWX at 103.798 sl: 103.659 (103.694 / 103.697),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68784,2021-01-26,sell,True,103.659,103.798,103.798,103.659,103.694,103.697,False,False,False,2021-01-26T05:00:01,2021-01-26T03:00:01Z,winter_US_standard,5,3,6,CS	0	16:02:32.952	Trade	2021.01.26 05:00:01   sell stop 7.46 USDJPY.DWX at 103.659 sl: 103.798 (103.694 / 103.697),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68794,2021-01-27,buy,True,103.720,103.586,103.720,103.586,103.705,103.708,False,False,False,2021-01-27T05:00:00,2021-01-27T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:33.119	Trade	2021.01.27 05:00:00   buy stop 7.73 USDJPY.DWX at 103.720 sl: 103.586 (103.705 / 103.708),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68795,2021-01-27,sell,True,103.586,103.720,103.720,103.586,103.705,103.708,False,False,False,2021-01-27T05:00:00,2021-01-27T03:00:00Z,winter_US_standard,5,3,6,CS	0	16:02:33.120	Trade	2021.01.27 05:00:00   sell stop 7.74 USDJPY.DWX at 103.586 sl: 103.720 (103.705 / 103.708),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68809,2021-01-28,buy,True,104.348,104.134,104.348,104.134,104.320,104.324,False,False,False,2021-01-28T05:00:06,2021-01-28T03:00:06Z,winter_US_standard,5,3,6,CS	0	16:02:33.383	Trade	2021.01.28 05:00:06   buy stop 4.86 USDJPY.DWX at 104.348 sl: 104.134 (104.320 / 104.324),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68810,2021-01-28,sell,True,104.134,104.348,104.348,104.134,104.320,104.324,False,False,False,2021-01-28T05:00:06,2021-01-28T03:00:06Z,winter_US_standard,5,3,6,CS	0	16:02:33.383	Trade	2021.01.28 05:00:06   sell stop 4.87 USDJPY.DWX at 104.134 sl: 104.348 (104.320 / 104.324),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68820,2021-02-01,buy,True,104.754,104.607,104.754,104.607,104.721,104.723,False,False,False,2021-02-01T05:00:01,2021-02-01T03:00:01Z,winter_US_standard,5,3,6,CS	0	16:02:33.865	Trade	2021.02.01 05:00:01   buy stop 7.11 USDJPY.DWX at 104.754 sl: 104.607 (104.721 / 104.723),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68821,2021-02-01,sell,True,104.607,104.754,104.754,104.607,104.721,104.723,False,False,False,2021-02-01T05:00:01,2021-02-01T03:00:01Z,winter_US_standard,5,3,6,CS	0	16:02:33.866	Trade	2021.02.01 05:00:01   sell stop 7.12 USDJPY.DWX at 104.607 sl: 104.754 (104.721 / 104.723),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68834,2021-02-02,buy,True,104.933,104.827,104.933,104.827,104.900,104.900,False,False,False,2021-02-02T05:00:14,2021-02-02T03:00:14Z,winter_US_standard,5,3,6,CS	0	16:02:34.028	Trade	2021.02.02 05:00:14   buy stop 9.88 USDJPY.DWX at 104.933 sl: 104.827 (104.900 / 104.900),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68835,2021-02-02,sell,True,104.827,104.933,104.933,104.827,104.900,104.900,False,False,False,2021-02-02T05:00:14,2021-02-02T03:00:14Z,winter_US_standard,5,3,6,CS	0	16:02:34.028	Trade	2021.02.02 05:00:14   sell stop 9.89 USDJPY.DWX at 104.827 sl: 104.933 (104.900 / 104.900),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
68849,2021-02-03,buy,True,105.047,104.920,105.047,104.920,104.970,104.972,False,False,False,2021-02-03T05:00:01,2021-02-03T03:00:01Z,winter_US_standard,5,3,6,CS	0	16:02:34.244	Trade	2021.02.03 05:00:01   buy stop 8.26 USDJPY.DWX at 105.047 sl: 104.920 (104.970 / 104.972),D:\QM\reports\work_items\2fc84747-27db-5e88-9568-3fdda6c30769\QM5_41398\20260909_135814\raw\run_01\20260909.log
