cell_key,year,arm,config,status,verdict,evidence_path
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c11,2025,c11,11,done,MEASURED,D:\QM\reports\work_items\8540af9a-dc21-57c1-8c9c-4e43d90c9c83\QM5_41405\20260911_115747\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c12,2019,c12,12,done,MEASURED,D:\QM\reports\work_items\6ff7cd48-5a95-5ce9-8027-799cce41d4f4\QM5_41405\20260911_120127\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c12,2020,c12,12,done,MEASURED,D:\QM\reports\work_items\9f72cf2e-6b3f-50c0-9657-04142105e483\QM5_41405\20260911_120427\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c12,2021,c12,12,done,MEASURED,D:\QM\reports\work_items\4d9bf3fa-9071-5530-8d49-602096e31d60\QM5_41405\20260911_120741\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c12,2022,c12,12,done,MEASURED,D:\QM\reports\work_items\1c2e2612-bf46-5420-873e-79bba722b3ae\QM5_41405\20260911_121047\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c12,2023,c12,12,done,MEASURED,D:\QM\reports\work_items\fe0d513f-8cd7-5a13-8540-14ca89da2199\QM5_41405\20260911_121450\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c12,2024,c12,12,done,MEASURED,D:\QM\reports\work_items\9d620642-b62d-5bde-b3d9-5ff40745fa6f\QM5_41405\20260911_121819\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c12,2025,c12,12,done,MEASURED,D:\QM\reports\work_items\62f5e0a1-9c2b-5202-a79b-9fd6d4143f5e\QM5_41405\20260911_122130\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c13,2019,c13,13,done,MEASURED,D:\QM\reports\work_items\e4d34c2b-b13e-502d-9843-51d1e9d3f3cf\QM5_41405\20260911_122444\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c13,2020,c13,13,done,MEASURED,D:\QM\reports\work_items\444237c5-836f-5861-9821-93c5d3a7d11c\QM5_41405\20260911_122755\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c13,2021,c13,13,done,MEASURED,D:\QM\reports\work_items\a20c0a17-843f-54ee-b534-3df8375600fd\QM5_41405\20260911_123146\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c13,2022,c13,13,done,MEASURED,D:\QM\reports\work_items\9f7020d6-77ad-55d7-82fc-d823b4261827\QM5_41405\20260911_123503\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c13,2023,c13,13,done,MEASURED,D:\QM\reports\work_items\530c495c-65b6-5e2b-b8b1-5a0b28c07bec\QM5_41405\20260911_124014\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c13,2024,c13,13,done,MEASURED,D:\QM\reports\work_items\2226e080-8465-57f0-bf31-51356f19fa77\QM5_41405\20260911_124350\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c13,2025,c13,13,done,MEASURED,D:\QM\reports\work_items\a13d47bd-e506-5b1d-ba28-c6ed8caf2ea5\QM5_41405\20260911_124717\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c14,2019,c14,14,done,MEASURED,D:\QM\reports\work_items\e70f2b66-dc40-5ca2-bcd9-c7387cff0bb6\QM5_41405\20260911_125131\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c14,2020,c14,14,done,MEASURED,D:\QM\reports\work_items\a33fb46f-71e5-5da0-911d-9b9e5c91ddfc\QM5_41405\20260911_125520\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c14,2021,c14,14,done,MEASURED,D:\QM\reports\work_items\e202b4b7-b2b0-549f-a8a2-6e56b227d994\QM5_41405\20260911_125932\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c14,2022,c14,14,done,MEASURED,D:\QM\reports\work_items\0b7a63bc-ac6d-5f13-9be6-6a51643f4198\QM5_41405\20260911_130356\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c14,2023,c14,14,done,MEASURED,D:\QM\reports\work_items\cb3d2c92-158b-5e06-92ea-b14c7163a11c\QM5_41405\20260911_130803\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c14,2024,c14,14,done,MEASURED,D:\QM\reports\work_items\49b5ab31-9ec5-563f-8e1f-d8f059d7854a\QM5_41405\20260911_131211\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c14,2025,c14,14,done,MEASURED,D:\QM\reports\work_items\edba92ac-316c-520d-b02f-364c8ec28396\QM5_41405\20260911_131504\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c15,2019,c15,15,done,MEASURED,D:\QM\reports\work_items\4a54c577-f83f-5712-85bf-89b9ed636d43\QM5_41405\20260911_131917\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c15,2020,c15,15,done,MEASURED,D:\QM\reports\work_items\a5a637c0-8896-5101-b1f0-596dd2e1266a\QM5_41405\20260911_132318\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c15,2021,c15,15,done,MEASURED,D:\QM\reports\work_items\6d6a9032-720a-5116-b7be-95f04d21ad5a\QM5_41405\20260911_132723\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c15,2022,c15,15,done,MEASURED,D:\QM\reports\work_items\d5b90cbe-4c3f-50c8-9ed1-3c0201e57044\QM5_41405\20260911_133036\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c15,2023,c15,15,done,MEASURED,D:\QM\reports\work_items\20e61143-cafd-5af5-95fd-4ba739450b40\QM5_41405\20260911_133448\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c15,2024,c15,15,done,MEASURED,D:\QM\reports\work_items\f0cf3c9e-fddf-5ae1-addb-ecefda5340b7\QM5_41405\20260911_133834\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c15,2025,c15,15,done,MEASURED,D:\QM\reports\work_items\b28d3f23-fef6-5668-9d8a-cfbcac063347\QM5_41405\20260911_134332\summary.json
