datetime,currency,event_name,impact
2023-07-13 12:30:00,USD,PPI m/m,high
2023-07-26 18:00:00,USD,FOMC Statement,high
2023-08-04 12:30:00,USD,Non-Farm Employment Change,high
2023-08-10 12:30:00,USD,CPI m/m,high
2023-08-11 12:30:00,USD,PPI m/m,high
2023-09-01 12:30:00,USD,Non-Farm Employment Change,high
2023-09-13 12:30:00,USD,CPI m/m,high
2023-09-14 12:30:00,USD,PPI m/m,high
2023-09-20 18:00:00,USD,FOMC Statement,high
2023-10-06 12:30:00,USD,Non-Farm Employment Change,high
2023-10-11 12:30:00,USD,PPI m/m,high
2023-10-12 12:30:00,USD,CPI m/m,high
2023-11-01 18:00:00,USD,FOMC Statement,high
2023-11-03 12:30:00,USD,Non-Farm Employment Change,high
2023-11-14 13:30:00,USD,CPI m/m,high
2023-11-15 13:30:00,USD,PPI m/m,high
2023-12-08 13:30:00,USD,Non-Farm Employment Change,high
2023-12-12 13:30:00,USD,CPI m/m,high
2023-12-13 13:30:00,USD,PPI m/m,high
2023-12-13 19:00:00,USD,FOMC Statement,high
2024-01-05 13:30:00,USD,Non-Farm Employment Change,high
2024-01-11 13:30:00,USD,CPI m/m,high
2024-01-12 13:30:00,USD,PPI m/m,high
2024-01-31 19:00:00,USD,FOMC Statement,high
2024-02-02 13:30:00,USD,Non-Farm Employment Change,high
2024-02-13 13:30:00,USD,CPI m/m,high
2024-02-16 13:30:00,USD,PPI m/m,high
2024-03-08 13:30:00,USD,Non-Farm Employment Change,high
2024-03-12 12:30:00,USD,CPI m/m,high
2024-03-14 12:30:00,USD,PPI m/m,high
2024-03-20 18:00:00,USD,FOMC Statement,high
2024-04-05 12:30:00,USD,Non-Farm Employment Change,high
2024-04-10 12:30:00,USD,CPI m/m,high
2024-04-11 12:30:00,USD,PPI m/m,high
2024-05-01 18:00:00,USD,FOMC Statement,high
2024-05-03 12:30:00,USD,Non-Farm Employment Change,high
2024-05-14 12:30:00,USD,PPI m/m,high
2024-05-15 12:30:00,USD,CPI m/m,high
2024-06-07 12:30:00,USD,Non-Farm Employment Change,high
2024-06-12 12:30:00,USD,CPI m/m,high
2024-06-12 18:00:00,USD,FOMC Statement,high
2024-06-13 12:30:00,USD,PPI m/m,high
2024-07-05 12:30:00,USD,Non-Farm Employment Change,high
2024-07-11 12:30:00,USD,CPI m/m,high
2024-07-12 12:30:00,USD,PPI m/m,high
2024-07-31 18:00:00,USD,FOMC Statement,high
2024-08-02 12:30:00,USD,Non-Farm Employment Change,high
2024-08-13 12:30:00,USD,PPI m/m,high
2024-08-14 12:30:00,USD,CPI m/m,high
2024-09-06 12:30:00,USD,Non-Farm Employment Change,high
2024-09-11 12:30:00,USD,CPI m/m,high
2024-09-12 12:30:00,USD,PPI m/m,high
2024-09-18 18:00:00,USD,FOMC Statement,high
2024-10-04 12:30:00,USD,Non-Farm Employment Change,high
2024-10-10 12:30:00,USD,CPI m/m,high
2024-10-11 12:30:00,USD,PPI m/m,high
2024-11-01 12:30:00,USD,Non-Farm Employment Change,high
2024-11-07 19:00:00,USD,FOMC Statement,high
2024-11-13 13:30:00,USD,CPI m/m,high
2024-11-14 13:30:00,USD,PPI m/m,high
2024-12-06 13:30:00,USD,Non-Farm Employment Change,high
2024-12-11 13:30:00,USD,CPI m/m,high
2024-12-12 13:30:00,USD,PPI m/m,high
2024-12-18 19:00:00,USD,FOMC Statement,high
2025-01-10 13:30:00,USD,Non-Farm Employment Change,high
2025-01-14 13:30:00,USD,PPI m/m,high
2025-01-15 13:30:00,USD,CPI m/m,high
2025-01-29 19:00:00,USD,FOMC Statement,high
2025-02-07 13:30:00,USD,Non-Farm Employment Change,high
2025-02-12 13:30:00,USD,CPI m/m,high
2025-02-13 13:30:00,USD,PPI m/m,high
2025-03-07 13:30:00,USD,Non-Farm Employment Change,high
2025-03-12 12:30:00,USD,CPI m/m,high
2025-03-13 12:30:00,USD,PPI m/m,high
2025-03-19 18:00:00,USD,FOMC Statement,high
2025-04-04 12:30:00,USD,Non-Farm Employment Change,high
