weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2025-11-21_2025-11-23,GBPUSD.DWX,OOS,2025-11-21T21:50:00Z,2025-11-23T22:05:00Z,1.31021,1.30969,-0.00052,-5.2,-1,LONG,0.00805,0.0646,1.31931,1.30373,0.01558,0.4159,MIDDLE_THIRD,0,0,0,1,2025-11-24T04:55:00Z,410,STOP,2025-11-23T22:05:00Z,1.30917,5.9,4.5,-5.2,-3.97,1,-6.2,-4.73
2025-11-28_2025-11-30,GBPUSD.DWX,OOS,2025-11-28T21:50:00Z,2025-11-30T22:05:00Z,1.32379,1.32245,-0.00134,-13.4,-1,LONG,0.00789,0.1698,1.32683,1.30802,0.01881,0.8384,UPPER_THIRD,1,0,1,1,2025-11-30T23:05:00Z,60,FILL,2025-11-30T23:05:00Z,1.32379,8.3,6.28,13.4,10.13,1,12.4,9.38
2025-12-05_2025-12-07,GBPUSD.DWX,OOS,2025-12-05T21:50:00Z,2025-12-07T22:05:00Z,1.33284,1.33157,-0.00127,-12.7,-1,LONG,0.00771,0.1648,1.33848,1.31792,0.02056,0.7257,UPPER_THIRD,1,0,1,1,2025-12-07T22:25:00Z,20,FILL,2025-12-07T22:25:00Z,1.33284,3.7,2.78,12.7,9.54,1,11.7,8.79
2025-12-12_2025-12-14,GBPUSD.DWX,OOS,2025-12-12T21:50:00Z,2025-12-14T22:05:00Z,1.3367,1.33687,0.00017,1.7,1,SHORT,0.0077,0.0221,1.34381,1.3287,0.01511,0.5295,MIDDLE_THIRD,0,0,0,1,2025-12-14T22:15:00Z,10,STOP,2025-12-14T22:15:00Z,1.33704,2.4,1.8,-1.7,-1.27,1,-2.7,-2.02
2025-12-26_2025-12-28,GBPUSD.DWX,OOS,2025-12-26T21:50:00Z,2025-12-28T22:10:00Z,1.34976,1.34918,-0.00058,-5.8,-1,LONG,0.00706,0.0822,1.35338,1.33734,0.01604,0.7743,UPPER_THIRD,1,0,0,1,2025-12-28T23:15:00Z,65,STOP,2025-12-28T22:15:00Z,1.3486,12.2,9.04,-5.8,-4.3,1,-6.8,-5.04
2017-10-20_2017-10-22,USDJPY.DWX,OTHER,2017-10-20T20:50:00Z,2017-10-22T21:05:00Z,113.505,113.846,0.341,34.1,1,SHORT,0.657,0.5191,113.568,111.651,1.917,0.9671,UPPER_THIRD,0,1,0,1,2017-10-23T19:35:00Z,1350,TIMESTOP,2017-10-23T12:00:00Z,113.817,25.1,22.05,2.9,2.55,0.8,2.1,1.84
2017-10-27_2017-10-29,USDJPY.DWX,OTHER,2017-10-27T20:50:00Z,2017-10-29T21:05:00Z,113.692,113.718,0.026,2.6,1,SHORT,0.729,0.0357,114.452,113.242,1.21,0.3719,MIDDLE_THIRD,0,0,1,1,2017-10-29T21:20:00Z,15,FILL,2017-10-29T21:20:00Z,113.692,1.9,1.67,2.6,2.29,0.8,1.8,1.58
2017-11-03_2017-11-05,USDJPY.DWX,OTHER,2017-11-03T20:50:00Z,2017-11-05T22:05:00Z,114.081,114.034,-0.047,-4.7,-1,LONG,0.783,0.06,114.428,112.955,1.473,0.7644,UPPER_THIRD,1,0,1,1,2017-11-05T22:05:00Z,0,FILL,2017-11-05T22:05:00Z,114.081,0,0,4.7,4.12,0.8,3.9,3.42
2017-11-10_2017-11-12,USDJPY.DWX,OTHER,2017-11-10T21:50:00Z,2017-11-12T22:05:00Z,113.505,113.496,-0.009,-0.9,-1,LONG,0.752,0.012,114.735,113.09,1.645,0.2523,LOWER_THIRD,0,0,0,1,2017-11-12T22:05:00Z,0,STOP,2017-11-12T22:05:00Z,113.487,1.9,1.67,-0.9,-0.79,0.8,-1.7,-1.5
2017-11-17_2017-11-19,USDJPY.DWX,OTHER,2017-11-17T21:50:00Z,2017-11-19T22:05:00Z,112.167,112.118,-0.049,-4.9,-1,LONG,0.751,0.0652,113.91,111.944,1.966,0.1134,LOWER_THIRD,0,0,1,1,2017-11-19T22:55:00Z,50,FILL,2017-11-19T22:55:00Z,112.167,2.1,1.87,4.9,4.37,0.8,4.1,3.66
