family,symbol,gate,distinct_fail_pairs
mean-reversion,GBPJPY.DWX,Q04,10
other,SP500.DWX,Q05,10
trend/momentum,EURUSD.DWX,Q05,10
basket/statarb,AUDUSD.DWX,Q02,9
mean-reversion,AUDUSD.DWX,Q02,9
basket/statarb,USDJPY.DWX,Q02,9
trend/momentum,EURAUD.DWX,Q02,9
breakout,EURJPY.DWX,Q02,9
mean-reversion,WS30.DWX,Q05,9
other,NDX.DWX,Q08,9
oscillator/other,NZDUSD.DWX,Q02,9
basket/statarb,USDCAD.DWX,Q02,9
basket/statarb,GBPUSD.DWX,Q02,9
other,WS30.DWX,Q05,9
trend/momentum,XAUUSD.DWX,Q09_PORTFOLIO,9
breakout,XAUUSD.DWX,Q08,9
pattern,USDJPY.DWX,Q02,8
basket/statarb,EURUSD.DWX,Q02,8
mean-reversion,NZDUSD.DWX,Q02,8
basket/statarb,NDX.DWX,Q04,8
basket/statarb,WS30.DWX,Q04,8
breakout,UK100.DWX,Q02,8
range/fade,SP500.DWX,Q02,8
range/fade,USDJPY.DWX,Q02,8
session/ORB,SP500.DWX,Q04,8
breakout,WS30.DWX,Q04,8
breakout,USDCHF.DWX,Q04,8
oscillator/other,UK100.DWX,Q04,8
pullback,AUDUSD.DWX,Q02,8
other,GBPUSD.DWX,Q05,8
range/fade,XNGUSD.DWX,Q02,8
trend/momentum,XTIUSD.DWX,Q05,8
mean-reversion,USDCHF.DWX,Q02,7
breakout,GBPJPY.DWX,Q02,7
basket/statarb,SP500.DWX,Q04,7
trend/momentum,XAUUSD.DWX,Q03,7
trend/momentum,USDJPY.DWX,Q03,7
breakout,USDCAD.DWX,Q02,7
range/fade,GDAXI.DWX,Q02,7
breakout,NZDUSD.DWX,Q02,7
basket/statarb,GBPUSD.DWX,Q04,7
other,GDAXI.DWX,Q08,7
mean-reversion,XNGUSD.DWX,Q04,7
breakout,EURJPY.DWX,Q04,7
mean-reversion,UK100.DWX,Q04,7
range/fade,AUDUSD.DWX,Q04,7
range/fade,AUDUSD.DWX,Q02,7
trend/momentum,USDJPY.DWX,Q05,7
grid/pyramid,GBPUSD.DWX,Q04,7
breakout,CHFJPY.DWX,Q02,6
basket/statarb,XAUUSD.DWX,Q02,6
basket/statarb,SP500.DWX,Q02,6
pattern,XAUUSD.DWX,Q02,6
pullback,SP500.DWX,Q02,6
basket/statarb,GDAXI.DWX,Q02,6
basket/statarb,WS30.DWX,Q02,6
breakout,AUDJPY.DWX,Q02,6
breakout,AUDNZD.DWX,Q02,6
mean-reversion,GBPJPY.DWX,Q02,6
other,GBPUSD.DWX,Q03,6
range/fade,SP500.DWX,Q04,6
trend/momentum,EURUSD.DWX,Q03,6
basket/statarb,NDX.DWX,Q02,6
oscillator/other,WS30.DWX,Q05,6
oscillator/other,XAUUSD.DWX,Q05,6
oscillator/other,USDCHF.DWX,Q02,6
pullback,WS30.DWX,Q02,6
pullback,NDX.DWX,Q04,6
basket/statarb,USDJPY.DWX,Q04,6
mean-reversion,NZDJPY.DWX,Q04,6
mean-reversion,XAGUSD.DWX,Q04,6
oscillator/other,XNGUSD.DWX,Q04,6
oscillator/other,AUDJPY.DWX,Q04,6
basket/statarb,USDCAD.DWX,Q04,6
trend/momentum,WS30.DWX,Q05,6
mean-reversion,NZDCHF.DWX,Q04,6
pullback,AUDUSD.DWX,Q04,6
breakout,USDCHF.DWX,Q02,6
session/ORB,AUDUSD.DWX,Q02,6
mean-reversion,EURCHF.DWX,Q04,6
grid/pyramid,USDJPY.DWX,Q04,6
pattern,AUDUSD.DWX,Q02,6
range/fade,NDX.DWX,Q02,6
other,GDAXI.DWX,Q09_PORTFOLIO,6
other,GBPUSD.DWX,Q08,6
other,SP500.DWX,Q09_PORTFOLIO,6
other,XAUUSD.DWX,Q09_PORTFOLIO,6
other,XTIUSD.DWX,Q08,6
other,USDJPY.DWX,Q08,6
oscillator/other,USDJPY.DWX,Q05,6
other,XTIUSD.DWX,Q07,6
basket/statarb,AUDJPY.DWX,Q02,5
mean-reversion,AUDNZD.DWX,Q02,5
breakout,XAGUSD.DWX,Q02,5
basket/statarb,XTIUSD.DWX,Q02,5
breakout,AUDCHF.DWX,Q02,5
mean-reversion,EURCHF.DWX,Q02,5
mean-reversion,XNGUSD.DWX,Q02,5
pullback,NDX.DWX,Q02,5
trend/momentum,GBPUSD.DWX,Q03,5
