family,symbol_class,timeframe,session,holding_class,n_pairs
oscillator/other,fx_major,H1,overnight/seasonal,intraday,5
session/ORB,fx_major,M1,london,scalp,5
oscillator/other,metal,M30,unspecified,intraday,5
pattern,metal,H4,unspecified,swing,5
session/ORB,fx_jpy,M5,session-open,scalp,5
mean-reversion,metal,M30,unspecified,intraday,5
trend/momentum,fx_major,M30,session-open,intraday,5
pullback,index,M15,unspecified,intraday,5
breakout,index,M30,unspecified,intraday,5
session/ORB,metal,H1,session-open,intraday,5
oscillator/other,fx_major,D1,overnight/seasonal,position,5
range/fade,fx_jpy,M15,unspecified,intraday,5
breakout,fx_jpy,M5,unspecified,scalp,5
mean-reversion,fx_major,H1,ny,intraday,5
pullback,fx_jpy,D1,unspecified,position,5
mean-reversion,fx_jpy,M5,unspecified,scalp,5
breakout,fx_major,M5,session-open,scalp,5
trend/momentum,fx_major,M5,session-open,scalp,5
session/ORB,energy,D1,session-open,position,5
basket/statarb,index,H4,unspecified,swing,5
breakout,index,W1,unspecified,position,5
grid/pyramid,fx_jpy,H4,unspecified,swing,5
breakout,fx_major,W1,unspecified,position,4
mean-reversion,fx_cross,H1,session-open,intraday,4
basket/statarb,metal,H1,unspecified,intraday,4
basket/statarb,energy,H1,unspecified,intraday,4
breakout,fx_cross,M30,unspecified,intraday,4
basket/statarb,fx_cross,H4,overnight/seasonal,swing,4
oscillator/other,index,M15,overnight/seasonal,intraday,4
breakout,index,M5,session-open,scalp,4
mean-reversion,index,M1,unspecified,scalp,4
other,fx_major,H1,session-open,intraday,4
breakout,fx_major,M1,unspecified,scalp,4
oscillator/other,fx_jpy,M30,unspecified,intraday,4
session/ORB,index,M15,ny,intraday,4
session/ORB,fx_jpy,M5,asian,scalp,4
pattern,metal,M15,unspecified,intraday,4
pattern,index,M15,unspecified,intraday,4
range/fade,index,M5,overnight/seasonal,scalp,4
basket/statarb,fx_major,M5,unspecified,scalp,4
trend/momentum,energy,M30,unspecified,intraday,4
pullback,fx_jpy,M15,unspecified,intraday,4
breakout,metal,M30,unspecified,intraday,4
basket/statarb,metal,D1,overnight/seasonal,position,4
session/ORB,fx_jpy,H1,session-open,intraday,4
oscillator/other,fx_jpy,M1,unspecified,scalp,4
oscillator/other,metal,D1,overnight/seasonal,position,4
basket/statarb,energy,D1,overnight/seasonal,position,4
range/fade,index,M1,unspecified,scalp,4
mean-reversion,energy,H1,unspecified,intraday,4
basket/statarb,fx_major,M30,unspecified,intraday,4
other,index,MN1,unspecified,position,4
grid/pyramid,metal,D1,unspecified,position,4
session/ORB,fx_jpy,H1,london,intraday,4
session/ORB,fx_major,M15,overnight/seasonal,intraday,4
oscillator/other,index,M5,overnight/seasonal,scalp,4
other,fx_major,H1,ny,intraday,4
pattern,fx_major,W1,unspecified,position,4
session/ORB,fx_jpy,M5,london,scalp,4
range/fade,fx_cross,H1,unspecified,intraday,4
range/fade,energy,D1,overnight/seasonal,position,4
grid/pyramid,fx_jpy,H1,unspecified,intraday,4
range/fade,fx_major,H4,session-open,swing,4
range/fade,index,H4,session-open,swing,4
range/fade,energy,H4,unspecified,swing,4
trend/momentum,energy,D1,overnight/seasonal,position,4
range/fade,fx_cross,M5,unspecified,scalp,4
other,index,D1,overnight/seasonal,position,3
session/ORB,fx_jpy,M30,session-open,intraday,3
breakout,metal,W1,unspecified,position,3
mean-reversion,fx_major,?,unspecified,?,3
oscillator/other,fx_major,M30,overnight/seasonal,intraday,3
oscillator/other,index,H1,overnight/seasonal,intraday,3
session/ORB,index,M5,london,scalp,3
oscillator/other,fx_major,M15,session-open,intraday,3
mean-reversion,fx_jpy,H1,session-open,intraday,3
basket/statarb,fx_jpy,H4,overnight/seasonal,swing,3
trend/momentum,energy,M5,unspecified,scalp,3
breakout,index,M5,ny,scalp,3
oscillator/other,fx_major,?,unspecified,?,3
breakout,metal,M1,unspecified,scalp,3
mean-reversion,metal,M5,unspecified,scalp,3
session/ORB,fx_major,H1,overnight/seasonal,intraday,3
other,index,M5,ny,scalp,3
session/ORB,fx_major,M1,session-open,scalp,3
session/ORB,index,M15,asian,intraday,3
oscillator/other,metal,M1,unspecified,scalp,3
range/fade,metal,M15,unspecified,intraday,3
trend/momentum,index,M5,ny,scalp,3
basket/statarb,energy,D1,unspecified,position,3
session/ORB,index,M1,ny,scalp,3
range/fade,fx_jpy,D1,unspecified,position,3
range/fade,metal,D1,unspecified,position,3
session/ORB,fx_jpy,D1,asian,position,3
oscillator/other,fx_major,W1,unspecified,position,3
other,energy,M1,unspecified,scalp,3
pullback,index,D1,overnight/seasonal,position,3
pullback,energy,D1,unspecified,position,3
pullback,index,M5,unspecified,scalp,3
trend/momentum,fx_major,H4,session-open,swing,3
other,energy,M15,session-open,intraday,3
breakout,fx_cross,H1,unspecified,intraday,3
session/ORB,fx_jpy,M15,overnight/seasonal,intraday,3
other,index,H1,overnight/seasonal,intraday,3
oscillator/other,index,W1,unspecified,position,3
range/fade,index,M1,overnight/seasonal,scalp,3
trend/momentum,other,M5,unspecified,scalp,3
session/ORB,energy,M15,session-open,intraday,3
breakout,other,H1,unspecified,intraday,3
trend/momentum,index,D1,session-open,position,3
mean-reversion,other,H1,unspecified,intraday,3
trend/momentum,other,M15,unspecified,intraday,3
trend/momentum,other,H4,unspecified,swing,3
mean-reversion,index,W1,unspecified,position,3
range/fade,fx_major,M30,unspecified,intraday,3
session/ORB,fx_major,M5,ny,scalp,3
pattern,index,M5,unspecified,scalp,3
breakout,energy,H1,unspecified,intraday,3
mean-reversion,energy,D1,overnight/seasonal,position,3
basket/statarb,other,H1,unspecified,intraday,3
session/ORB,index,M5,ny,scalp,3
other,energy,M30,unspecified,intraday,3
grid/pyramid,index,H1,unspecified,intraday,3
trend/momentum,energy,D1,session-open,position,3
pullback,fx_major,M15,session-open,intraday,2
pullback,fx_jpy,M15,session-open,intraday,2
range/fade,fx_major,M15,overnight/seasonal,intraday,2
session/ORB,index,M5,asian,scalp,2
breakout,index,M15,asian,intraday,2
breakout,metal,M15,asian,intraday,2
trend/momentum,index,H1,overnight/seasonal,intraday,2
breakout,metal,M5,asian,scalp,2
breakout,index,M5,asian,scalp,2
session/ORB,metal,H1,overnight/seasonal,intraday,2
other,fx_cross,?,unspecified,?,2
session/ORB,metal,M1,session-open,scalp,2
trend/momentum,fx_major,M5,ny,scalp,2
basket/statarb,index,M5,unspecified,scalp,2
basket/statarb,metal,M5,unspecified,scalp,2
session/ORB,fx_major,M1,ny,scalp,2
session/ORB,index,M30,session-open,intraday,2
other,index,H4,overnight/seasonal,swing,2
basket/statarb,index,D1,overnight/seasonal,position,2
oscillator/other,fx_major,M1,unspecified,scalp,2
mean-reversion,fx_jpy,M30,unspecified,intraday,2
pullback,energy,H1,unspecified,intraday,2
mean-reversion,energy,M15,unspecified,intraday,2
trend/momentum,energy,M1,unspecified,scalp,2
basket/statarb,fx_jpy,H1,overnight/seasonal,intraday,2
trend/momentum,index,MN1,unspecified,position,2
session/ORB,fx_cross,M15,london,intraday,2
pullback,energy,H4,unspecified,swing,2
trend/momentum,commodity,D1,unspecified,position,2
range/fade,fx_major,M5,session-open,scalp,2
other,fx_major,M15,asian,intraday,2
session/ORB,metal,M15,london,intraday,2
trend/momentum,metal,W1,unspecified,position,2
trend/momentum,fx_jpy,W1,unspecified,position,2
session/ORB,fx_jpy,M1,london,scalp,2
mean-reversion,other,M5,unspecified,scalp,2
oscillator/other,other,M15,unspecified,intraday,2
mean-reversion,other,M30,unspecified,intraday,2
oscillator/other,other,H1,unspecified,intraday,2
session/ORB,other,M15,session-open,intraday,2
range/fade,other,D1,unspecified,position,2
basket/statarb,fx_cross,H1,overnight/seasonal,intraday,2
pattern,fx_jpy,W1,unspecified,position,2
pattern,fx_major,M30,unspecified,intraday,2
range/fade,fx_jpy,M30,unspecified,intraday,2
session/ORB,fx_jpy,M5,ny,scalp,2
pattern,fx_major,M5,unspecified,scalp,2
range/fade,energy,M30,unspecified,intraday,2
other,fx_major,M30,session-open,intraday,2
basket/statarb,other,M30,unspecified,intraday,2
basket/statarb,metal,H4,unspecified,swing,2
basket/statarb,energy,H4,unspecified,swing,2
breakout,energy,W1,unspecified,position,2
range/fade,fx_major,M15,asian,intraday,2
range/fade,index,M30,overnight/seasonal,intraday,2
oscillator/other,fx_cross,H4,unspecified,swing,2
range/fade,index,D1,overnight/seasonal,position,2
grid/pyramid,fx_major,H1,london,intraday,2
grid/pyramid,metal,H1,unspecified,intraday,2
grid/pyramid,fx_major,M5,unspecified,scalp,2
mean-reversion,fx_jpy,?,unspecified,?,1
oscillator/other,fx_jpy,M30,overnight/seasonal,intraday,1
oscillator/other,fx_jpy,H1,overnight/seasonal,intraday,1
range/fade,fx_jpy,M15,overnight/seasonal,intraday,1
range/fade,metal,M15,overnight/seasonal,intraday,1
oscillator/other,metal,H1,overnight/seasonal,intraday,1
session/ORB,metal,M5,asian,scalp,1
oscillator/other,metal,M15,session-open,intraday,1
mean-reversion,fx_major,H1,session-open,intraday,1
basket/statarb,fx_major,H4,overnight/seasonal,swing,1
trend/momentum,fx_major,H1,overnight/seasonal,intraday,1
oscillator/other,metal,M15,overnight/seasonal,intraday,1
breakout,metal,M5,session-open,scalp,1
other,fx_jpy,H1,session-open,intraday,1
other,metal,H1,session-open,intraday,1
breakout,fx_jpy,M1,unspecified,scalp,1
session/ORB,fx_jpy,H1,overnight/seasonal,intraday,1
session/ORB,metal,M15,ny,intraday,1
session/ORB,energy,M15,ny,intraday,1
pattern,fx_jpy,M15,unspecified,intraday,1
other,metal,M5,ny,scalp,1
other,fx_major,M5,ny,scalp,1
trend/momentum,fx_jpy,M5,ny,scalp,1
trend/momentum,metal,M5,ny,scalp,1
other,metal,M5,session-open,scalp,1
basket/statarb,fx_jpy,M15,unspecified,intraday,1
basket/statarb,metal,M15,unspecified,intraday,1
trend/momentum,fx_jpy,M30,session-open,intraday,1
session/ORB,energy,H1,overnight/seasonal,intraday,1
oscillator/other,fx_jpy,?,unspecified,?,1
oscillator/other,metal,?,unspecified,?,1
session/ORB,fx_jpy,M1,ny,scalp,1
session/ORB,metal,M1,ny,scalp,1
session/ORB,metal,M30,session-open,intraday,1
pullback,metal,M15,unspecified,intraday,1
other,metal,H4,overnight/seasonal,swing,1
other,energy,H4,overnight/seasonal,swing,1
oscillator/other,fx_cross,M5,unspecified,scalp,1
session/ORB,index,M15,london,intraday,1
oscillator/other,fx_jpy,W1,unspecified,position,1
basket/statarb,commodity,D1,overnight/seasonal,position,1
breakout,energy,M5,unspecified,scalp,1
range/fade,metal,M5,unspecified,scalp,1
range/fade,fx_major,M1,unspecified,scalp,1
range/fade,metal,M1,unspecified,scalp,1
session/ORB,index,D1,session-open,position,1
mean-reversion,index,M30,overnight/seasonal,intraday,1
basket/statarb,fx_jpy,M30,unspecified,intraday,1
session/ORB,metal,M5,overnight/seasonal,scalp,1
other,metal,MN1,unspecified,position,1
other,energy,MN1,unspecified,position,1
range/fade,metal,M5,session-open,scalp,1
session/ORB,metal,M1,london,scalp,1
other,index,M15,asian,intraday,1
other,metal,M15,asian,intraday,1
oscillator/other,fx_jpy,D1,overnight/seasonal,position,1
trend/momentum,metal,D1,overnight/seasonal,position,1
other,energy,H1,overnight/seasonal,intraday,1
other,metal,H1,overnight/seasonal,intraday,1
other,fx_jpy,H1,ny,intraday,1
oscillator/other,index,M5,session-open,scalp,1
session/ORB,fx_jpy,M1,session-open,scalp,1
other,fx_major,H1,overnight/seasonal,intraday,1
other,fx_jpy,H1,overnight/seasonal,intraday,1
range/fade,fx_jpy,M5,session-open,scalp,1
trend/momentum,fx_jpy,H4,session-open,swing,1
trend/momentum,other,?,unspecified,?,1
oscillator/other,other,W1,unspecified,position,1
