ea_id,symbol,build_hash,setfile_hash,gate,phase,n,pass,econ_fail,infra,invalid,stale,other,valid
QM5_10025,XTIUSD.DWX,bc76d9cc436fc1012631eda839068012e25eaa528b02b601714298ae87b6df0a,2ab87327dccc20d01730e20cccc036e1d390f3064f7011b78c78f61b6337ba70,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10026,AUDUSD.DWX,8e91f023de16948903b80b4dc4a3107d0da744097e244305a917413837efb866,d90e1ef78f02bf64fc760c33d7b4d56f7ed8524c20878aeb1a274fbb833bec98,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10026,EURUSD.DWX,8e91f023de16948903b80b4dc4a3107d0da744097e244305a917413837efb866,6630bdd55bc3488d1020876c56c71002210fc3b2f319e002e0230aeb430eb80b,Q04,Q04,1,0,1,0,0,0,0,0
QM5_10027,AUDJPY.DWX,d58774d58e8d2ee2f4797ff6021e0ea97a62e4c043686a0f4e45ac3d2a9d17be,7bdee6be2eacdb029ca0e6b3c1c7d65c293dc96c0f8e6da807da7ae8a279e42e,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10027,NZDJPY.DWX,d58774d58e8d2ee2f4797ff6021e0ea97a62e4c043686a0f4e45ac3d2a9d17be,770bb5227573a6ca0abd54520682bbc2eef3420a4d3078349e0a201426ac968c,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10027,NZDUSD.DWX,d58774d58e8d2ee2f4797ff6021e0ea97a62e4c043686a0f4e45ac3d2a9d17be,689b677f924f2c98c4f844724da9ba6f73770b392c0289e5ef30076a9ee4e61f,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10027,USDCHF.DWX,d58774d58e8d2ee2f4797ff6021e0ea97a62e4c043686a0f4e45ac3d2a9d17be,ad84f23b8ea146d18e6fc8d8b28190b153cd8b8ca5465f3edf15f37a05ef22d5,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10028,NDX.DWX,e8d90b398b8cf8be4548227c8fb8e98f1d1879790ebd7ed42b20c62e9138a05f,111eb3a4d5e56a681eee8ba21fb046e7cdfe427741932f6236a96dd1568d09e6,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10028,XAUUSD.DWX,e8d90b398b8cf8be4548227c8fb8e98f1d1879790ebd7ed42b20c62e9138a05f,510ee1da8e3baf7760dd202bae32f72c58ffaa763611af73c44cdc3603b5d666,Q02,Q02,1,0,1,0,0,0,0,0
QM5_10030,EURJPY.DWX,3ca1b72b29fabab80c87ff4b9a3a8104f0db4c5de8f69b0bccbf5c3a1b3ee635,3888b65331eed7f36c5ff46680d07695d1d1c6b45f0f4a92a7501a2482cbd937,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10031,XAUUSD.DWX,2ad12b53c6086ae833e465e7b269607af036c96d3b94592b03eb198e5f2da295,525e9a93a884b2d23defca19369c47794f89801c936bacc619fff6ed156ca200,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10037,NDX.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,ec1e57bdf56dd6de89e7fb0ecb0cf63ce8d085a6cfd4aad4d514a741202f7243,Q02,Q02,1,0,0,1,0,0,0,0
QM5_10037,SP500.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,a65e112f693d4eaf95d50f7f8d4d49255e693e726a111dc8e2cc9b3a9bcfac57,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10037,SP500.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,a65e112f693d4eaf95d50f7f8d4d49255e693e726a111dc8e2cc9b3a9bcfac57,Q03,Q03,1,1,0,0,0,0,0,1
QM5_10037,WS30.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,3423aee1e2b5680f06ac043afab16cc59de3d5b4907af7bc2a1ed3e926b29cb7,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10037,XAUUSD.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,e80fe1f1a8d44f1b4cf833f629f0b4524ef293c2226e9955a340d64ea6f8f251,Q02,Q02,1,1,0,0,0,0,0,1
QM5_10037,XAUUSD.DWX,29dc483c5e56ad0177fac92e1dccca8efaf77c44f21fd5c7cdfbbb7ecbcc5088,e80fe1f1a8d44f1b4cf833f629f0b4524ef293c2226e9955a340d64ea6f8f251,Q03,Q03,1,1,0,0,0,0,0,1
QM5_10038,AUDUSD.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,071341bf45bfbe7f26997d342da7abdf359862f48bd223b195256fa1de37e1c8,Q02,Q02,2,0,0,0,1,0,1,0
QM5_10038,GDAXI.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,0da206f7ea5330d8dddbcd09c6211b881e3a8589d0b7a9e7c0fa3d6e4ade9cfc,Q02,Q02,1,0,0,0,1,0,0,0
QM5_10038,NDX.DWX,61833c537bb10b731ea9c63717ccea8b720d91cf8c671fa469d2ebe06a313891,6f504afa0653d422c24c2986e5fb5d4333dabe4511549938144c3e3bd4cae849,Q02,Q02,1,0,0,0,1,0,0,0
