event_id,event_time_utc,event_names,symbol,pre_high,pre_low,pre_range_pts,post_high,post_low,post_range_pts,expansion_ratio,breakout_dir,entry_price,mfe_15m_pts,mae_15m_pts,mfe_30m_pts,mae_30m_pts,mfe_60m_pts,mae_60m_pts,gross_pnl_pts,net_pnl_pts,era
E2_00720,2020-04-02T12:30:00Z,Initial Jobless Claims,SP500.DWX,2506.6,2491.4,15.2,2497.9,2432.9,65,4.2763,-1,2491.4,3.3,37.9,3.3,37.9,3.3,61.7,35.5,34.5,IS
E2_00721,2020-04-03T12:30:00Z,Nonfarm Payrolls,SP500.DWX,2534.9,2501.6,33.3,2530.1,2494.1,36,1.0811,-1,2501.6,20.9,11.3,20.9,11.3,24.7,11.3,-10.2,-11.2,IS
E2_00722,2020-04-09T12:30:00Z,Initial Jobless Claims,SP500.DWX,2731.2,2708.5,22.7,2792.2,2719.7,72.5,3.1938,1,2731.2,31,2.7,55,2.7,69.8,2.7,49.5,48.5,IS
E2_00723,2020-04-15T12:30:00Z,Retail Sales m/m,SP500.DWX,2806,2782.7,23.3,2785.9,2762,23.9,1.0258,-1,2782.7,2.7,8.8,2.7,19.5,2.7,21.2,2.2,1.2,IS
E2_00724,2020-04-16T12:30:00Z,Initial Jobless Claims,SP500.DWX,2797.3,2781.7,15.6,2807.8,2786,21.8,1.3974,1,2797.3,19.3,2.5,19.3,2.5,19.3,2.5,-0.8,-1.8,IS
E2_00725,2020-04-23T12:30:00Z,Initial Jobless Claims,SP500.DWX,2802.3,2792.5,9.8,2815.3,2799.1,16.2,1.6531,1,2802.3,4,3.5,12.5,3.5,12.7,3.5,8.3,7.3,IS
E2_00726,2020-04-29T18:00:00Z,Fed Interest Rate Decision,SP500.DWX,2953.2,2941.2,12,2948.4,2932.4,16,1.3333,-1,2941.2,3.8,11.5,3.8,11.5,4.5,11.5,-6,-7,IS
E2_00727,2020-04-30T12:30:00Z,Initial Jobless Claims,SP500.DWX,2945,2929.2,15.8,2939.7,2910.7,29,1.8354,-1,2929.2,6.7,6.8,6.7,14.8,6.7,22.3,5.3,4.3,IS
E2_00728,2020-05-07T12:30:00Z,Initial Jobless Claims,SP500.DWX,2888,2877,11,2885.8,2878.5,7.3,0.6636,0,,2.5,4.3,3,4.3,3,4.3,0,0,IS
E2_00729,2020-05-08T12:30:00Z,Nonfarm Payrolls,SP500.DWX,2918.5,2908,10.5,2924.2,2910.2,14,1.3333,1,2918.5,13.4,0.6,13.4,0.6,13.4,0.6,-4.5,-5.5,IS
E2_00730,2020-05-12T12:30:00Z,CPI m/m,SP500.DWX,2941.8,2935.5,6.3,2942.3,2933.5,8.8,1.3968,-1,2935.5,2.3,3.7,4.1,3.7,5.1,3.7,-5,-6,IS
E2_00731,2020-05-14T12:30:00Z,Initial Jobless Claims,SP500.DWX,2809.3,2792.3,17,2800.1,2782.3,17.8,1.0471,-1,2792.3,4.6,11,4.6,13.2,4.6,13.2,1.2,0.2,IS
E2_00732,2020-05-15T12:30:00Z,Retail Sales m/m,SP500.DWX,2834.3,2816.6,17.7,2830.1,2816.8,13.3,0.7514,0,,0.3,8,2.6,8,5.3,8,0,0,IS
